f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,y
0.029566,0.001931,0.000000,0.000000,0.000000,0.000991,0.026316,0.019231,0.000000,0.000000,0.022727,0.000000,0.028571,0.018440,0.666700,0.000000,0.530612,0.956522,0.727273,0.500000,1
0.012385,0.049817,0.000000,0.000000,0.009302,0.003345,0.000000,0.000000,0.135593,0.270270,0.056818,0.090909,0.114286,0.020954,0.862100,0.009385,0.693878,0.913043,0.181818,1.000000,1
0.015089,0.001545,0.000000,0.000000,0.260000,0.001363,0.000000,0.000000,0.000000,0.000000,0.034091,0.000000,0.085714,0.012130,1.000000,0.403024,0.612245,0.739130,0.090909,1.000000,1
0.126809,0.005793,0.000000,0.000000,0.100000,0.003221,0.000000,0.000000,0.000000,0.027027,0.125000,0.090909,0.028571,0.093339,1.000000,0.252346,0.638776,0.913043,0.818182,0.500000,1
0.011313,0.003669,0.000000,0.000000,0.172632,0.000991,0.078947,0.038462,0.002825,0.027027,0.068182,0.090909,0.171429,0.010640,0.777800,0.422836,0.597959,0.956522,0.727273,0.500000,0
0.168357,0.021626,0.000000,0.000000,0.042857,0.002974,0.000000,0.000000,0.000000,0.000000,0.034091,0.000000,0.028571,0.136109,1.000000,0.298227,0.626531,0.913043,0.454545,1.000000,0
0.075602,0.000965,0.000000,0.000000,0.000000,0.232189,0.013158,0.019231,0.014124,0.081081,0.022727,0.000000,0.028571,0.073107,0.923100,0.000000,0.581633,0.000000,0.545455,0.500000,1
0.069666,0.000000,0.000000,0.000000,0.000000,0.002354,0.000000,0.000000,0.050847,0.054054,0.056818,0.000000,0.000000,0.050802,0.777800,0.000000,0.473469,0.913043,0.636364,0.500000,1
0.122127,0.000000,0.000000,0.000000,0.000000,0.003841,0.000000,0.000000,0.000000,0.000000,0.022727,0.000000,0.028571,0.117180,1.000000,0.000000,0.659184,0.608696,0.000000,0.500000,1
0.079511,0.005600,0.000000,0.000000,0.000000,0.005947,0.013158,0.000000,0.000000,0.027027,0.056818,0.000000,0.028571,0.098508,0.933300,0.000000,0.765306,0.782609,0.636364,0.500000,1
0.027240,0.000000,0.000000,0.000000,0.000000,0.030603,0.000000,0.000000,0.000000,0.108108,0.022727,0.000000,0.057143,0.014645,1.000000,0.000000,0.630612,0.782609,0.545455,0.500000,0
