lno,tcin,location_id,effective_d,expiry_d,regular_retail_a,current_retail_a,channel_n
226,"13462173","331","2023-10-29","","17.99","16.99","STORE"
227,"13462173","1967","2023-10-29","","17.99","16.99","STORE"
228,"13462173","2586","2023-10-29","","17.99","16.99","STORE"
229,"13462173","3251","2023-10-29","","17.99","16.99","STORE"
230,"13462173","1838","2023-10-29","2023-11-19","17.99","16.99","STORE"
231,"13462173","1874","2023-10-29","2023-11-19","17.99","16.99","STORE"
232,"13462173","2395","2023-10-29","2023-11-19","17.99","16.99","STORE"
233,"13462173","867","2023-10-29","","17.99","16.99","STORE"
234,"13462173","1104","2023-10-29","","17.99","16.99","STORE"
235,"13462173","1360","2023-10-29","","17.99","16.99","STORE"
236,"13462173","1881","2023-10-29","","17.99","16.99","STORE"
237,"13462173","2316","2023-10-29","","17.99","16.99","STORE"
238,"13462173","606","2023-10-29","","17.99","16.99","STORE"
239,"13462173","1076","2023-10-29","","17.99","16.99","STORE"
240,"13462173","322","2023-10-29","","17.99","16.99","STORE"
241,"13462173","1298","2023-10-29","","17.99","16.99","STORE"
242,"13462173","1372","2023-10-29","","17.99","16.99","STORE"
243,"13462173","2398","2023-10-29","","17.99","16.99","STORE"
244,"13462173","2440","2023-10-29","","17.99","16.99","STORE"
245,"13462173","2449","2023-10-29","","16.99","15.99","STORE"
246,"13462173","626","2023-10-29","","17.99","16.99","STORE"
247,"13462173","1416","2023-10-29","","17.99","16.99","STORE"
248,"13462173","2457","2023-10-29","","17.99","17.99","STORE"
249,"13462173","200","2023-10-29","","17.99","16.99","STORE"
250,"13462173","280","2023-10-29","","17.99","16.99","STORE"
251,"13462173","834","2023-10-29","","17.99","16.99","STORE"
252,"13462173","1066","2023-10-29","","17.99","16.99","STORE"
253,"13462173","1949","2023-10-29","","17.99","16.99","STORE"
254,"13462173","2601","2023-10-29","","17.99","16.99","STORE"
255,"13462173","2799","2023-10-29","","17.99","16.99","STORE"
256,"13462173","364","2023-10-29","2023-11-19","17.99","16.99","STORE"
257,"13462173","864","2023-10-29","2023-11-19","17.99","16.99","STORE"
258,"13462173","137","2023-10-29","2023-11-19","17.99","16.99","STORE"
259,"13462173","734","2023-10-29","2023-11-19","17.99","16.99","STORE"
260,"13462173","1392","2023-10-29","2023-11-19","17.99","16.99","STORE"
261,"13462173","1181","2023-10-29","2023-11-19","17.99","16.99","STORE"
262,"13462173","1480","2023-10-29","2023-11-19","17.99","16.99","STORE"
263,"13462173","2857","2023-10-29","2023-11-19","17.99","16.99","STORE"
264,"13462173","838","2023-10-29","","17.99","16.99","STORE"
265,"13462173","1208","2023-10-29","","17.99","16.99","STORE"
266,"13462173","1426","2023-10-29","","17.99","16.99","STORE"
267,"13462173","1976","2023-10-29","","17.99","16.99","STORE"
268,"13462173","2584","2023-10-29","","17.99","16.99","STORE"
269,"13462173","3362","2023-10-29","","17.99","16.99","STORE"
270,"13462173","816","2023-10-29","2023-11-19","17.99","16.99","STORE"
271,"13462173","2372","2023-10-29","","17.99","16.99","STORE"
272,"13462173","278","2023-10-29","","17.99","16.99","STORE"
273,"13462173","1115","2023-10-29","","17.99","16.99","STORE"
274,"13462173","1420","2023-10-29","","17.99","16.99","STORE"
275,"13462173","2330","2023-10-29","","17.99","16.99","STORE"
276,"13462173","313","2023-10-29","","17.99","16.99","STORE"
277,"13462173","323","2023-10-29","","17.99","16.99","STORE"
278,"13462173","2084","2023-10-29","","17.99","16.99","STORE"
279,"13462173","1163","2023-10-29","2023-11-19","17.99","16.99","STORE"
280,"13462173","348","2023-10-29","2023-11-19","17.99","16.99","STORE"
281,"13462173","2085","2023-10-29","2023-11-19","17.99","16.99","STORE"
282,"13462173","2550","2023-10-29","2023-11-19","17.99","16.99","STORE"
283,"13462173","950","2023-10-29","","17.99","16.99","STORE"
284,"13462173","1176","2023-10-29","","17.99","16.99","STORE"
285,"13462173","1305","2023-10-29","","17.99","16.99","STORE"
286,"13462173","1788","2023-10-29","","17.99","16.99","STORE"
287,"13462173","2109","2023-10-29","","17.99","16.99","STORE"
288,"13462173","2542","2023-10-29","","17.99","16.99","STORE"
289,"13462173","2830","2023-10-29","","17.99","16.99","STORE"
290,"13462173","311","2023-10-29","","17.99","16.99","STORE"
291,"13462173","2411","2023-10-29","","17.99","16.99","STORE"
292,"13462173","2627","2023-10-29","","17.99","16.99","STORE"
293,"13462173","3353","2023-10-29","","17.99","16.99","STORE"
294,"13462173","1417","2023-10-29","","17.99","16.99","STORE"
295,"13462173","3216","2023-10-29","","17.99","16.99","STORE"
296,"13462173","3400","2023-10-29","","17.99","16.99","STORE"
297,"13462173","1832","2023-10-29","","16.99","15.99","STORE"
298,"13462173","3424","2023-10-29","","17.99","16.99","STORE"
299,"13462173","639","2023-10-29","","17.99","16.99","STORE"
300,"13462173","1799","2023-10-29","","17.99","16.99","STORE"
301,"13462173","2113","2023-10-29","","17.99","16.99","STORE"
302,"13462173","69","2023-10-29","","17.99","16.99","STORE"
303,"13462173","86","2023-10-29","","17.99","16.99","STORE"
304,"13462173","2270","2023-10-29","","17.99","16.99","STORE"
305,"13462173","939","2023-10-29","","17.99","16.99","STORE"
306,"13462173","1427","2023-10-29","","17.99","16.99","STORE"
307,"13462173","1786","2023-10-29","","17.99","16.99","STORE"
308,"13462173","2396","2023-10-29","","17.99","16.99","STORE"
309,"13462173","1933","2023-10-29","","17.99","16.99","STORE"
310,"13462173","2204","2023-10-29","","17.99","16.99","STORE"
311,"13462173","3293","2023-10-29","","17.99","16.99","STORE"
312,"13462173","1086","2023-10-29","","17.99","16.99","STORE"
313,"13462173","1538","2023-10-29","","17.99","16.99","STORE"
314,"13462173","1820","2023-10-29","","17.99","16.99","STORE"
315,"13462173","1473","2023-10-29","","17.99","16.99","STORE"
316,"13462173","1834","2023-10-29","","17.99","16.99","STORE"
317,"13462173","660","2023-10-29","","17.99","16.99","STORE"
318,"13462173","758","2023-10-29","","17.99","16.99","STORE"
319,"13462173","943","2023-10-29","","17.99","16.99","STORE"
320,"13462173","1227","2023-10-29","","16.99","15.99","STORE"
321,"13462173","1284","2023-10-29","","17.99","16.99","STORE"
322,"13462173","1536","2023-10-29","","17.99","16.99","STORE"
323,"13462173","2531","2023-10-29","","17.99","16.99","STORE"
324,"13462173","3360","2023-10-29","","17.99","16.99","STORE"
325,"13462173","1547","2023-10-29","","17.99","16.99","STORE"
326,"13462173","1438","2023-10-29","","17.99","16.99","STORE"
327,"13462173","614","2023-10-29","","17.99","16.99","STORE"
328,"13462173","1333","2023-10-29","","17.99","16.99","STORE"
329,"13462173","1448","2023-10-29","","16.99","15.99","STORE"
330,"13462173","731","2023-10-29","","17.99","16.99","STORE"
331,"13462173","1453","2023-10-29","","17.99","16.99","STORE"
332,"13462173","673","2023-10-29","","17.99","16.99","STORE"
333,"13462173","2473","2023-10-29","","17.99","16.99","STORE"
334,"13462173","2772","2023-10-29","","17.99","16.99","STORE"
335,"13462173","1505","2023-10-29","","17.99","16.99","STORE"
336,"13462173","2068","2023-10-29","","17.99","16.99","STORE"
337,"13462173","2494","2023-10-29","","17.99","16.99","STORE"
338,"13462173","2605","2023-10-29","","17.99","16.99","STORE"
339,"13462173","2872","2023-10-29","","17.99","16.99","STORE"
340,"13462173","1400","2023-10-29","2023-11-19","17.99","16.99","STORE"
341,"13462173","2868","2023-10-29","2023-11-19","17.99","16.99","STORE"
342,"13462173","1531","2023-10-29","2023-11-19","17.99","16.99","STORE"
343,"13462173","293","2023-10-29","","17.99","16.99","STORE"
344,"13462173","879","2023-10-29","","17.99","16.99","STORE"
345,"13462173","937","2023-10-29","","17.99","16.99","STORE"
346,"13462173","1784","2023-10-29","","17.99","16.99","STORE"
347,"13462173","2534","2023-10-29","","17.99","16.99","STORE"
348,"13462173","619","2023-10-29","","16.99","15.99","STORE"
349,"13462173","941","2023-10-29","","17.99","16.99","STORE"
350,"13462173","2224","2023-10-29","","17.99","16.99","STORE"
351,"13462173","291","2023-10-29","","17.99","16.99","STORE"
352,"13462173","1054","2023-10-29","","17.99","16.99","STORE"
353,"13462173","1070","2023-10-29","","17.99","16.99","STORE"
354,"13462173","2163","2023-10-29","","17.99","16.99","STORE"
355,"13462173","2880","2023-10-29","","17.99","17.99","STORE"
356,"13462173","3274","2023-10-29","","17.99","16.99","STORE"
357,"13462173","824","2023-10-29","","17.99","16.99","STORE"
358,"13462173","966","2023-10-29","","17.99","16.99","STORE"
359,"13462173","1094","2023-10-29","","17.99","16.99","STORE"
360,"13462173","2259","2023-10-29","","17.99","16.99","STORE"
361,"13462173","3250","2023-10-29","","17.99","16.99","STORE"
362,"13462173","3336","2023-10-29","","17.99","16.99","STORE"
363,"13462173","1077","2023-10-29","","17.99","16.99","STORE"
364,"13462173","1927","2023-10-29","","17.99","16.99","STORE"
365,"13462173","3217","2023-10-29","","17.99","16.99","STORE"
366,"13462173","337","2023-10-29","","17.99","16.99","STORE"
367,"13462173","1238","2023-10-29","","17.99","16.99","STORE"
368,"13462173","1979","2023-10-29","","17.99","16.99","STORE"
369,"13462173","2420","2023-10-29","","17.99","16.99","STORE"
370,"13462173","246","2023-10-29","","17.99","16.99","STORE"
371,"13462173","2388","2023-10-29","","17.99","16.99","STORE"
372,"13462173","233","2023-10-29","","17.99","16.99","STORE"
373,"13462173","997","2023-10-29","","17.99","16.99","STORE"
374,"13462173","304","2023-10-29","","17.99","16.99","STORE"
375,"13462173","1125","2023-10-29","","17.99","16.99","STORE"
376,"13462173","1437","2023-10-29","","17.99","16.99","STORE"
377,"13462173","1952","2023-10-29","","17.99","16.99","STORE"
378,"13462173","1971","2023-10-29","","17.99","16.99","STORE"
379,"13462173","3427","2023-10-29","","17.99","16.99","STORE"
380,"13462173","2370","2023-10-29","","17.99","16.99","STORE"
381,"13462173","314","2023-10-29","","17.99","16.99","STORE"
382,"13462173","1063","2023-10-29","","17.99","16.99","STORE"
383,"13462173","1162","2023-10-29","","17.99","16.99","STORE"
384,"13462173","1526","2023-10-29","","17.99","16.99","STORE"
385,"13462173","855","2023-10-29","2023-11-19","17.99","16.99","STORE"
386,"13462173","346","2023-10-29","2023-11-19","17.99","16.99","STORE"
387,"13462173","681","2023-10-29","2023-11-19","17.99","16.99","STORE"
388,"13462173","676","2023-10-29","","17.99","16.99","STORE"
389,"13462173","1228","2023-10-29","","16.99","15.99","STORE"
390,"13462173","1455","2023-10-29","","17.99","16.99","STORE"
391,"13462173","913","2023-10-29","","17.99","16.99","STORE"
392,"13462173","1168","2023-10-29","","17.99","16.99","STORE"
393,"13462173","2061","2023-10-29","","17.99","16.99","STORE"
394,"13462173","1294","2023-10-29","2023-11-19","17.99","16.99","STORE"
395,"13462173","2175","2023-10-29","2023-11-19","17.99","16.99","STORE"
396,"13462173","1939","2023-10-29","2023-11-19","17.99","16.99","STORE"
397,"13462173","1323","2023-10-29","","17.99","16.99","STORE"
398,"13462173","2056","2023-10-29","","17.99","16.99","STORE"
399,"13462173","2499","2023-10-29","","17.99","16.99","STORE"
400,"13462173","2759","2023-10-29","","17.99","16.99","STORE"
401,"13462173","3350","2023-10-29","","17.99","16.99","STORE"
402,"13462173","1539","2023-10-29","","17.99","16.99","STORE"
403,"13462173","1863","2023-10-29","","17.99","16.99","STORE"
404,"13462173","3313","2023-10-29","","17.99","16.99","STORE"
405,"13462173","1371","2023-10-29","","17.99","16.99","STORE"
406,"13462173","1383","2023-10-29","","17.99","16.99","STORE"
407,"13462173","195","2023-10-29","","17.99","16.99","STORE"
408,"13462173","920","2023-10-29","","17.99","16.99","STORE"
409,"13462173","3366","2023-10-29","","17.99","16.99","STORE"
410,"13462173","397","2023-10-29","","17.99","16.99","STORE"
411,"13462173","607","2023-10-29","","17.99","16.99","STORE"
412,"13462173","627","2023-10-29","","17.99","16.99","STORE"
413,"13462173","2278","2023-10-29","","17.99","16.99","STORE"
414,"13462173","2407","2023-10-29","","17.99","16.99","STORE"
415,"13462173","1889","2023-10-29","","17.99","16.99","STORE"
416,"13462173","2492","2023-10-29","","17.99","16.99","STORE"
417,"13462173","2802","2023-10-29","","17.99","16.99","STORE"
418,"13462173","2810","2023-10-29","","17.99","16.99","STORE"
419,"13462173","2729","2023-10-29","","17.99","16.99","STORE"
420,"13462173","1362","2023-10-29","","17.99","16.99","STORE"
421,"13462173","1205","2023-10-29","","17.99","16.99","STORE"
422,"13462173","810","2023-10-29","","17.99","16.99","STORE"
423,"13462173","895","2023-10-29","","17.99","16.99","STORE"
424,"13462173","2337","2023-10-29","2023-11-19","17.99","16.99","STORE"
425,"13462173","654","2023-10-29","2023-11-19","17.99","16.99","STORE"
426,"13462173","2080","2023-10-29","2023-11-19","17.99","16.99","STORE"
427,"13462173","618","2023-10-29","","17.99","16.99","STORE"
428,"13462173","2115","2023-10-29","","17.99","16.99","STORE"
429,"13462173","3208","2023-10-29","","17.99","16.99","STORE"
430,"13462173","3317","2023-10-29","","17.99","16.99","STORE"
431,"13462173","1376","2023-10-29","","17.99","16.99","STORE"
432,"13462173","2018","2023-10-29","","17.99","16.99","STORE"
433,"13462173","3393","2023-10-29","","17.99","16.99","STORE"
434,"13462173","778","2023-10-29","","17.99","16.99","STORE"
435,"13462173","320","2023-10-29","","17.99","16.99","STORE"
436,"13462173","1088","2023-10-29","","17.99","16.99","STORE"
437,"13462173","1304","2023-10-29","","17.99","16.99","STORE"
438,"13462173","1936","2023-10-29","","17.99","16.99","STORE"
439,"13462173","2090","2023-10-29","","17.99","16.99","STORE"
