f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,class
497.0,0.0,0.0,0,0,6,6,0,2214,1528.333333333333,0.0,0.0,906.0,0.0,6.0,1.0,0.0,0
407.0,0.0,0.0,0,6,8,6,0,1267,558.625,0.0,0.0,575.0,0.0,2.0,2.0,2.0,0
407.0,0.0,0.0,0,6,8,6,0,1267,558.625,0.0,0.0,575.0,0.0,2.0,2.0,2.0,0
420.0,0.0,0.0,0,2,5,3,0,1484,933.6,0.0,0.0,216.0,0.0,2.0,2.0,4.0,1
586.0,0.9524,0.0,0,0,2,3,0,2996,2829.5,0.0,0.0,428.0,0.0,0.0,1.0,8.0,0
492.0,1.0,0.0,0,1,10,11,0,2204,1556.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
523.0,1.0,0.0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
467.0,0.0,0.0,0,1,1,0,0,178,178.0,400.0,0.0,0.0,0.0625,0.0,0.0,0.0,0
454.0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0
579.0,0.7073,0.0,0,5,8,10,0,2785,926.875,1050.0,0.21523809523809526,30.0,0.0,7.0,3.0,29.0,0
556.0,1.0,1.114,0,3,3,0,0,410,343.0,500.0,0.0,87.0,0.07,0.0,0.0,0.0,1
395.0,1.0,0.0,0,1,1,0,0,95,95.0,0.0,0.0,97.0,0.0,0.0,0.0,0.0,0
548.0,0.75,0.0,0,1,2,2,0,1490,825.0,0.0,0.0,1522.0,0.0,1.0,1.0,0.0,1
512.0,0.4444,0.914,1,2,23,13,0,3438,2301.913043478261,500.0,0.0,21.0,0.04,4.0,12.0,108.0,1
549.0,1.0,0.0,0,5,6,4,0,1904,499.66666666666674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
515.0,1.0,0.0,0,2,7,11,0,5529,1767.571428571429,6500.0,0.0,898.0,0.0,0.0,0.0,0.0,0
606.0,1.0,0.0,0,2,5,8,0,2042,1041.4,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0
568.0,1.0,0.0,0,0,2,2,0,2186,1852.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
570.0,1.0,0.0,0,3,9,8,0,2126,1243.3333333333333,500.0,0.0,86.0,0.0,0.0,0.0,0.0,1
